genus,wood_density
Montezuma,0.7
Moquinia,0.955
Mora,0.8060555555555555
Morinda,0.558
Moringa,0.262
Morisonia,0.88
Moronobea,0.8323333333333333
Mortoniodendron,0.51
Morus,0.6387916666666666
Moultonianthus,0.68
Mouriri,0.8361904761904762
Mundulea,0.839
Muntingia,0.3
Murraya,0.7772
Musanga,0.24283333333333335
Musgravea,0.581
Mussaendopsis,0.77
Myoporum,0.881
Myrceugenia,0.74
Myrcia,0.8108888888888889
Myrcianthes,0.7557499999999999
Myrciaria,0.7849999999999999
Myrianthus,0.4495
Myrica,0.5830000000000001
Myricaria,0.981
Myristica,0.4586756756756757
Myrocarpus,0.86125
Myrospermum,0.83
Myroxylon,0.7985384615384615
Myrsine,0.7419230769230769
Mytilaria,0.492
Nageia,0.482
Nauclea,0.6076829268292683
Naucleopsis,0.6505000000000001
Nealchornea,0.6133333333333333
Nectandra,0.5885405405405405
Neea,0.6298888888888889
