tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
67,Simarouba amara,Simaroubaceae,798758.4057,9726460.046,15.1,False,O,2,14.21
68,Tapirira guianensis,Anacardiaceae,798753.5491,9726459.451,13.5,False,O,2,13.15
69,Tapirira guianensis,Anacardiaceae,798755.3641,9726458.604,13.5,False,O,2,13.15
70,Euterpe oleracea,Arecaceae,798755.2503,9726453.1,10.8,False,P,2,11.23
71,Lecythis lurida,Lecythidaceae,798754.8729,9726452.395,15.0,False,O,2,14.15
72,Zanthoxylum rhoifolium,Rutaceae,798754.6925,9726452.271,28.7,False,O,2,21.55
73,Inga marginata,Fabaceae,798753.7823,9726451.421,12.9,False,O,2,12.74
74,Euterpe oleracea,Arecaceae,798751.0243,9726450.524,10.8,False,P,2,11.23
75,Euterpe oleracea,Arecaceae,798758.2656,9726468.214,10.2,False,P,2,10.78
1,Euterpe oleracea,Arecaceae,798754.7226,9726448.291,10.0,False,P,2,10.62
2,Simarouba amara,Simaroubaceae,798755.5498,9726450.475,15.2,False,O,2,14.28
3,Inga alba,Fabaceae,798762.63,9726444.572,12.8,False,O,2,12.67
4,Euterpe oleracea,Arecaceae,798758.0722,9726450.942,11.0,False,P,2,11.38
5,Xylopia nitida,Annonaceae,798756.9928,9726451.473,29.8,False,O,2,22.04
6,Guatteria schomburgkiana,Annonaceae,798756.954,9726451.613,15.6,False,O,2,14.54
7,Guatteria schomburgkiana,Annonaceae,798762.1631,9726452.232,13.2,False,O,2,12.95
8,Xylopia nitida,Annonaceae,798765.6986,9726450.358,23.9,False,O,2,19.25
9,Xylopia nitida,Annonaceae,798771.1971,9726460.088,16.7,False,O,2,15.22
10,Simarouba amara,Simaroubaceae,798767.9396,9726453.944,11.4,False,O,2,11.67
11,Euterpe oleracea,Arecaceae,798768.3614,9726453.461,10.7,False,P,2,11.15
12,Xylopia nitida,Annonaceae,798765.4992,9726452.116,22.6,False,O,2,18.58
13,Tapirira guianensis,Anacardiaceae,798760.751,9726458.079,31.8,False,O,2,22.9
14,Euterpe oleracea,Arecaceae,798760.726,9726460.995,11.7,False,P,2,11.89
15,Euterpe oleracea,Arecaceae,798767.3549,9726461.983,10.4,False,P,2,10.93
16,Euterpe oleracea,Arecaceae,798767.4021,9726462.071,10.4,False,P,2,10.93
17,Euterpe oleracea,Arecaceae,798767.7325,9726462.692,11.6,False,P,2,11.82
18,Euterpe oleracea,Arecaceae,798770.1728,9726460.919,10.3,False,P,2,10.85
19,Euterpe oleracea,Arecaceae,798770.198,9726465.207,10.4,False,P,2,10.93
20,Inga alba,Fabaceae,798770.8033,9726466.133,17.4,False,O,2,15.65
21,Euterpe oleracea,Arecaceae,798770.3868,9726465.562,10.1,False,P,2,10.7
22,Euterpe oleracea,Arecaceae,798768.1235,9726469.765,10.1,False,P,2,10.7
23,Guatteria schomburgkiana,Annonaceae,798767.0906,9726470.361,10.4,False,O,2,10.93
24,Sacoglottis guianensis,Humiriaceae,798775.5072,9726470.967,13.7,False,O,2,13.29
25,Euterpe oleracea,Arecaceae,798776.5344,9726475.012,10.9,False,P,2,11.3
26,Euterpe oleracea,Arecaceae,798776.912,9726475.723,10.1,False,P,2,10.7
27,Xylopia nitida,Annonaceae,798771.1792,9726477.589,21.1,False,O,2,17.78
28,Tapirira guianensis,Anacardiaceae,798772.5004,9726480.061,16.1,False,O,2,14.85
29,Euterpe oleracea,Arecaceae,798773.0312,9726478.956,10.6,False,P,2,11.08
30,Xylopia nitida,Annonaceae,798774.3643,9726479.354,15.0,False,O,2,14.15
31,,,798774.9778,9726480.504,27.1,True,O,2,20.81
32,Tapirira guianensis,Anacardiaceae,798772.9462,9726483.827,23.7,False,O,2,19.15
33,Euterpe oleracea,Arecaceae,798773.385,9726483.81,11.3,False,P,2,11.6
34,Simarouba amara,Simaroubaceae,798773.0427,9726485.261,19.7,False,O,2,17.0
35,Euterpe oleracea,Arecaceae,798776.5584,9726487.653,10.0,False,P,2,10.62
36,Euterpe oleracea,Arecaceae,798780.004,9726485.74,11.6,False,P,2,11.82
37,Tapirira guianensis,Anacardiaceae,798786.8706,9726477.644,27.3,False,O,2,20.91
38,Euterpe oleracea,Arecaceae,798793.3976,9726479.467,11.0,False,P,2,11.38
39,Euterpe oleracea,Arecaceae,798793.4448,9726479.557,11.1,False,P,2,11.45
40,Euterpe oleracea,Arecaceae,798793.492,9726479.647,10.2,False,P,2,10.78
41,Euterpe oleracea,Arecaceae,798790.1653,9726471.607,10.9,False,P,2,11.3
42,Euterpe oleracea,Arecaceae,798785.0932,9726461.508,10.1,False,P,2,10.7
43,Euterpe oleracea,Arecaceae,798785.046,9726461.418,10.2,False,P,2,10.78
44,Inga alba,Fabaceae,798785.068,9726460.818,16.1,False,O,2,14.85
45,Euterpe oleracea,Arecaceae,798778.0283,9726463.005,10.1,False,P,2,10.7
46,Xylopia nitida,Annonaceae,798782.4474,9726456.461,11.1,False,O,2,11.45
47,Cordia scabrifolia,Boraginaceae,798775.6776,9726456.417,11.9,False,O,2,12.03
48,Simarouba amara,Simaroubaceae,798775.562,9726460.463,18.3,False,O,2,16.19
49,Nectandra cuspidata,Lauraceae,798773.5051,9726452.298,14.1,False,O,2,13.56
50,Euterpe oleracea,Arecaceae,798773.6468,9726452.566,11.0,False,P,2,11.38
51,Xylopia nitida,Annonaceae,798773.4209,9726449.997,11.7,False,O,2,11.89
52,Euterpe oleracea,Arecaceae,798777.9963,9726450.12,11.1,False,P,2,11.45
53,Euterpe oleracea,Arecaceae,798777.949,9726450.03,12.9,False,P,2,12.74
54,Simarouba amara,Simaroubaceae,798773.1477,9726447.333,17.2,False,O,2,15.53
55,Euterpe oleracea,Arecaceae,798770.2834,9726448.331,12.0,False,P,2,12.11
56,Inga alba,Fabaceae,798776.6932,9726443.332,16.3,False,O,2,14.98
57,Xylopia nitida,Annonaceae,798777.2785,9726442.509,19.1,False,O,2,16.65
58,Euterpe oleracea,Arecaceae,798776.8665,9726440.859,10.9,False,P,2,11.3
59,Euterpe oleracea,Arecaceae,798776.9525,9726440.807,10.9,False,P,2,11.3
60,Tapirira guianensis,Anacardiaceae,798773.7069,9726439.79,18.7,False,O,2,16.42
61,Cordia scabrifolia,Boraginaceae,798773.7541,9726439.88,14.6,False,O,2,13.89
62,Xylopia nitida,Annonaceae,798773.45,9726437.573,18.3,False,O,2,16.19
63,Tapirira guianensis,Anacardiaceae,798772.522,9726436.234,15.6,False,O,2,14.54
64,Euterpe oleracea,Arecaceae,798771.3568,9726436.82,10.1,False,P,2,10.7
65,Euterpe oleracea,Arecaceae,798771.0988,9726436.976,10.7,False,P,2,11.15
1,Helicostylis sp.,Moraceae,798655.2042,9728344.701,7.8,False,O,3,8.85
2,Helicostylis sp.,Moraceae,798655.2824,9728344.6,6.9,False,O,3,8.08
3,Miconia poeppigii,Melastomataceae,798653.5656,9728345.192,7.0,False,O,3,8.17
4,Tetragastris panamensis,Burseraceae,798655.0519,9728348.253,6.7,False,O,3,7.9
5,Pourouma villosa,Urticaceae,798660.5972,9728352.29,16.5,False,O,3,15.1
6,Banara guianensis,Salicaceae,798657.852,9728353.221,11.0,False,O,3,11.38
7,Banara guianensis,Salicaceae,798658.8756,9728353.516,12.7,False,O,3,12.6
8,Pourouma villosa,Urticaceae,798659.0372,9728354.425,13.6,False,O,3,13.22
9,,,798661.0751,9728357.632,32.7,True,O,3,23.28
10,Helicostylis sp.,Moraceae,798654.9593,9728359.08,11.7,False,O,3,11.89
11,,,798657.3704,9728361.683,13.0,False,L,3,12.81
12,,,798658.5022,9728361.957,30.2,True,O,3,22.22
